Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1862,183783,Duarte I,Ubatuba,Rio de Janeiro,,1,"Silva, José Rodrigues Gomes da"
1862,183784,Mercúrio,Macaé,Rio de Janeiro,,1,"Valença, Francisco José de Oliveira"
1862,183785,Lucinda,Ariró,Rio de Janeiro,,2,"Oliveira, Bento Tomás de"
1862,183786,Céres,Campos,Rio de Janeiro,,3,"Bloem, José Maria de Albuquerque"
1862,183787,S Pedro,Santos,Rio de Janeiro,,2,"Cunha, Pereira da"
1863,183788,Pedro II,Vitória,Rio de Janeiro,,1,"Machado, Lourenço"
1863,183789,Pedro II,Vitória,Rio de Janeiro,,1,"Machado, Lourenço"
1863,183790,Campeador Fluminense,Angra dos Reis,Rio de Janeiro,,2,"Souza, Antônio José de"
1863,183791,Campeador Fluminense,Angra dos Reis,Rio de Janeiro,,2,"Souza, Antônio José de"
1863,183792,Esperança,Laguna,Rio de Janeiro,,1,"Rosa, Manoel Martins da"
1863,183793,Esperança,Laguna,Rio de Janeiro,,1,"Rosa, Manoel Joaquim da"
1863,183794,Mariana,Parati,Rio de Janeiro,,2,"Caixa, José Antônio de Oliveira"
1863,183795,Mariana,Parati,Rio de Janeiro,,2,"Caixa, José Antônio de Oliveira"
1863,183796,Almirante,"Pernambuco, place unspecified",Rio de Janeiro,,1,"Oliveira, Joaquim José de"
1863,183797,Almirante,"Pernambuco, place unspecified",Rio de Janeiro,,1,"Oliveira, Joaquim José de"
1863,183798,S Pedro,Santos,Rio de Janeiro,,1,"Cunha, Pereira da"
1863,183799,S Pedro,Santos,Rio de Janeiro,,1,"Cunha, Pereira da"
1863,183800,Juparaná,São Mateus,Rio de Janeiro,,1,"Barbosa, José Martins"
1863,183801,Juparaná,São Mateus,Rio de Janeiro,,1,"Barbosa, José Martins"
1863,183802,Paquete de Jurumirim,Jerumirim,Rio de Janeiro,,1,"Alves, Elias José"
1863,183803,S Manoel,Rio Grande,Rio de Janeiro,,1,"Porto, João José de Mattos"
1863,183804,Paquete de Jurumirim,Jerumirim,Rio de Janeiro,,1,"Alves, Elias José"
1863,183805,S Manoel,Rio Grande,Rio de Janeiro,,1,"Porto, João José de Mattos"
1863,183806,Imperador,Santa Catarina,Rio de Janeiro,,2,"Maciel, Joaquim Antônio da Silveira"
1863,183807,Imperador,Santa Catarina,Rio de Janeiro,,2,"Maciel, Joaquim Antônio da Silveira"
1863,183808,Brasil,Rio Grande,Rio de Janeiro,,3,"Araújo, Francisco Manoel Álvares de"
1863,183809,Marambaia,Mangaratiba,Rio de Janeiro,,1,"Castro, Antônio Lopes de"
1863,183810,Marambaia,Mangaratiba,Rio de Janeiro,,1,"Castro, L. de"
1863,183811,Céres,Campos,Rio de Janeiro,,2,"Bloem, J. Maria de Albuquerque"
1863,183812,Pedro II,Parati,Rio de Janeiro,,2,"Machado, Lourenço"
1863,183813,Pedro II,Parati,Rio de Janeiro,,2,"Machado, Lourenço"
1863,183814,Céres,Campos,Rio de Janeiro,,3,"Bloem, J. Maria de Albuquerque"
1863,183815,Diligente,Campos,Rio de Janeiro,,3,"Gomes, Carlos Antônio"
1863,183816,Diligente,Campos,Rio de Janeiro,,3,"Gomes, Carlos Antônio"
1863,183817,D Afonso,Parati,Rio de Janeiro,,1,"Meireles, J.C. de"
1863,183818,D Afonso,Parati,Rio de Janeiro,,1,"Meireles, J.C. de"
1863,183819,Social,Santa Cruz,Rio de Janeiro,,1,"Almeida, Manoel Francisco de"
1863,183820,Social,Santa Cruz,Rio de Janeiro,,1,"Almeida, Manoel Francisco de"
1863,183821,Jovem Paulistana,Parati,Rio de Janeiro,,2,"Oliveira, Valentim Pires de"
1863,183822,Jovem Paulistana,Parati,Rio de Janeiro,,2,"Oliveira, Valentim Pires de"
1863,183823,S Maria,Santos,Rio de Janeiro,,2,
1863,183824,Vampiro,Rio São João,Rio de Janeiro,,1,"Barbosa, Antônio José"
1863,183825,Vampiro,Rio São João,Rio de Janeiro,,1,"Barbosa, Antônio José"
1863,183826,Brassica,Maceió,Rio de Janeiro,,2,"Oliveira, José da Penha e"
1863,183827,Brassica,Maceió,Rio de Janeiro,,2,"Oliveira, José da Penha e"
1863,183828,Diligente,Campos,Rio de Janeiro,,3,"Gomes, Carlos Antônio"
1863,183829,Paquete da Inveja,Cabo Frio,Rio de Janeiro,,3,"Silva, Francisco Luís da"
1863,183830,Céres,Campos,Rio de Janeiro,,3,"Bloem, M. de Albuquerque"
1863,183831,Diligente,Campos,Rio de Janeiro,,3,"Gomes, Carlos Antônio"
1863,183832,Paquete da Inveja,Cabo Frio,Rio de Janeiro,,3,"Silva, Francisco Luís da"
1863,183833,S Pedro,Santos,Rio de Janeiro,,3,"Cunha, Pereira da"
1863,183834,S Pedro,Santos,Rio de Janeiro,,3,"Cunha, Pereira da"
1863,183835,Dois Corações,Macaé,Rio de Janeiro,,1,"Paz, Frederico Fernandes da"
1863,183836,Dois Corações,Macaé,Rio de Janeiro,,2,"Paz, Frederico Fernandes da"
1863,183837,Tocantins,Montevideo,Rio de Janeiro,,4,"Duarte, F.H."
